node_1,node_2,sim,course
Philosophy of Science,scientific method,0.6301428,True
Philosophy of Science,philosophical foundation,0.6190002,True
Philosophy of Science,logical empiricism,0.63029826,True
Philosophy of Science,paradigm theory,0.62318724,True
Philosophy of Science,scientific progress,0.6175903,True
Philosophy of Science,objectivity,0.5790435,True
Philosophy of Science,philosophy,0.57496345,True
Philosophy of Science,theory,0.55275404,True
Philosophy of Science,scientific,0.5473109,True
Philosophy of Science,fundamental problem,0.5740725,True
Philosophy of Science,scientific explanation,0.60794306,True
Contemporary World History,liberal democracy,0.56862205,True
Contemporary World History,cold war,0.6064843,True
Contemporary World History,specific regional conflict,0.59754455,True
Contemporary World History,historical datum,0.5731915,True
Contemporary World History,global context,0.66830224,True
Contemporary World History,decolonization,0.59202003,True
Contemporary World History,historical theory,0.6313691,True
Contemporary World History,current global situation,0.6473609,True
Contemporary World History,historical background,0.6724095,True
Contemporary World History,current situation,0.57574177,True
Contemporary World History,contemporary worldtory,0.7147467,True
Contemporary World History,possible source,0.50854784,True
Contemporary World History,issue,0.54277027,True
Contemporary World History,conflict,0.55530906,True
Contemporary World History,historical perspective,0.6679816,True
Contemporary World History,trend,0.51626885,True
Contemporary World History,recenttory,0.5831158,True
Political Philosophy,western political philosophy,0.7619622,True
Political Philosophy,contemporary political thought,0.76709557,True
Political Philosophy,think,0.5316012,True
Political Philosophy,democracy,0.5575006,True
Political Philosophy,philosophy,0.6289315,True
Political Philosophy,contemporary political philosophy,0.76966834,True
Political Philosophy,political concept,0.73911464,True
Political Philosophy,democratic society,0.5680453,True
Political Philosophy,conceptual analysis,0.61328954,True
Political Philosophy,political life,0.6057483,True
Political Philosophy,political philosophy,0.80423856,True
Political Philosophy,contemporary philosophy,0.70146585,True
Political Philosophy,john rawls,0.5578075,True
Political Philosophy,comparative political argumentation,0.61870164,True
Political Philosophy,modern political philosopher,0.78539467,True
Political Philosophy,political theory,0.73044765,True
Political Philosophy,thomas hobbes,0.57123077,True
Political Philosophy,western political thought,0.7351594,True
Political Philosophy,political philosophytory,0.79538983,True
Political Philosophy,contemporary philosophical debate,0.6907336,True
Political Philosophy,concept,0.5894807,True
Political Philosophy,public life,0.55113983,True
Political Philosophy,current ethical issue,0.5478643,True
Political Philosophy,mary wollstonecraft,0.55174047,True
Political Philosophy,core political concept,0.7407666,True
Political Philosophy,fuzzy moral idea,0.56739736,True
Political Philosophy,hannah arendt,0.59891814,True
Political Philosophy,political thought,0.75410056,True
Political Philosophy,political philosopher,0.78823227,True
Political Philosophy,core concept,0.6161032,True
Political Philosophy,political philosophizing,0.7791618,True
Political Philosophy,prominent political philosopher,0.7748858,True
Political Philosophy,global political issue,0.6085489,True
"Science, Reason and Human Progress",scientificquiry method,0.5692139,True
"Science, Reason and Human Progress",future scientific work,0.5680721,True
"Science, Reason and Human Progress",interdisciplinary thinking,0.61873496,True
"Science, Reason and Human Progress",successful scientific research,0.565423,True
"Science, Reason and Human Progress",intellectual work,0.59797573,True
"Science, Reason and Human Progress",interdisciplinary thought,0.6279569,True
"Science, Reason and Human Progress",human progress,0.6920368,True
"Science, Reason and Human Progress",scientific theory,0.5657707,True
"Science, Reason and Human Progress",intellectual achievement,0.6374259,True
"Science, Reason and Human Progress",different academic domain,0.5341835,True
"Science, Reason and Human Progress",scientific thought,0.624178,True
"Science, Reason and Human Progress",intellectual,0.5314826,True
"Science, Reason and Human Progress",interdisciplinary nature,0.5934157,True
"Science, Reason and Human Progress",scientificquiry,0.57591236,True
Cultural Studies I: Doing Cultural Studies,contemporary culture,0.6612389,True
Cultural Studies I: Doing Cultural Studies,cultural,0.60805976,True
Cultural Studies I: Doing Cultural Studies,critical theory,0.61146694,True
Cultural Studies I: Doing Cultural Studies,central theoretical approach,0.56233,True
Cultural Studies I: Doing Cultural Studies,regional cultural flow,0.58554024,True
Cultural Studies I: Doing Cultural Studies,cultural theory,0.70009875,True
Cultural Studies I: Doing Cultural Studies,many cultural phenomenon,0.6109706,True
Cultural Studies I: Doing Cultural Studies,posthumanism,0.5540831,True
Cultural Studies I: Doing Cultural Studies,cultural performance,0.5854813,True
Cultural Studies I: Doing Cultural Studies,cultural object,0.57465696,True
Cultural Studies I: Doing Cultural Studies,critical posthumanism,0.5590762,True
Cultural Studies I: Doing Cultural Studies,gender theory,0.56381786,True
Cultural Studies I: Doing Cultural Studies,material culture,0.62987506,True
Cultural Studies I: Doing Cultural Studies,interdisciplinaryquiry,0.5379353,True
Cultural Studies I: Doing Cultural Studies,consumer culture,0.62845564,True
Cultural Studies I: Doing Cultural Studies,cultural process,0.66398907,True
Cultural Studies I: Doing Cultural Studies,cultural today,0.63031036,True
Cultural Studies I: Doing Cultural Studies,critical approach,0.56266314,True
Cultural Studies I: Doing Cultural Studies,contemporary cultural,0.6672084,True
Introduction to Philosophy,question,0.5463402,True
Introduction to Philosophy,discussion,0.5563488,True
Introduction to Philosophy,wonder,0.5698476,True
Introduction to Philosophy,aristotle,0.6597788,True
Introduction to Philosophy,ethic,0.5319644,True
Introduction to Philosophy,philosophicalquiry,0.7274265,True
Introduction to Philosophy,philosophy,0.62607694,True
Introduction to Philosophy,begin,0.5394634,True
Introduction to Philosophy,fundamental question,0.6534204,True
Introduction to Philosophy,influential ancient philosopher,0.6605765,True
Introduction to Philosophy,certainty,0.57183444,True
Common Foundations of Law in Europe,common european culture,0.7006186,True
Common Foundations of Law in Europe,european legal landscape,0.64552844,True
Common Foundations of Law in Europe,culturalstitution,0.5025567,True
Common Foundations of Law in Europe,common ground,0.5774496,True
Common Foundations of Law in Europe,common foundation,0.6357437,True
Common Foundations of Law in Europe,national law,0.59520876,True
Common Foundations of Law in Europe,present common foundation,0.6214155,True
Common Foundations of Law in Europe,various european nation,0.58532023,True
Common Foundations of Law in Europe,legal difference today,0.5762073,True
Common Foundations of Law in Europe,continental Europe,0.5742073,True
Common Foundations of Law in Europe,common legaltory,0.64564186,True
Common Foundations of Law in Europe,medieval tradition,0.60813767,True
Common Foundations of Law in Europe,law,0.52073216,True
Common Foundations of Law in Europe,legal concept,0.54750645,True
Common Foundations of Law in Europe,american legaltory,0.5526774,True
Common Foundations of Law in Europe,present national legal system,0.5987981,True
Common Foundations of Law in Europe,common law,0.6758114,True
Common Foundations of Law in Europe,continental european law,0.68044245,True
"Introduction to Art; Representations, Performances and Interactions",performance,0.5713975,True
"Introduction to Art; Representations, Performances and Interactions",collective activity,0.5868622,True
"Introduction to Art; Representations, Performances and Interactions",century literature,0.55911994,True
"Introduction to Art; Representations, Performances and Interactions",cultural,0.592536,True
"Introduction to Art; Representations, Performances and Interactions",admiration,0.55897385,True
"Introduction to Art; Representations, Performances and Interactions",role,0.55863327,True
"Introduction to Art; Representations, Performances and Interactions",academic field,0.5622881,True
"Introduction to Art; Representations, Performances and Interactions",artistic practice,0.70816827,True
"Introduction to Art; Representations, Performances and Interactions",interaction,0.6203342,True
"Introduction to Art; Representations, Performances and Interactions",theater,0.5697458,True
"Introduction to Art; Representations, Performances and Interactions",artworks,0.6225871,True
"Introduction to Art; Representations, Performances and Interactions",talent,0.5606088,True
"Introduction to Art; Representations, Performances and Interactions",advancedtroduction,0.5166657,True
"Introduction to Art; Representations, Performances and Interactions",creative exercise,0.57545704,True
"Introduction to Art; Representations, Performances and Interactions",contemporary art,0.61050093,True
"Introduction to Art; Representations, Performances and Interactions",genre,0.5303999,True
"Introduction to Art; Representations, Performances and Interactions",theoretical,0.53918797,True
"Introduction to Art; Representations, Performances and Interactions",concept,0.58041424,True
"Introduction to Art; Representations, Performances and Interactions",representation,0.6667166,True
"Introduction to Art; Representations, Performances and Interactions",literature,0.55769813,True
"Introduction to Art; Representations, Performances and Interactions",art,0.5690244,True
"Introduction to Art; Representations, Performances and Interactions",culture,0.55690795,True
"Introduction to Art; Representations, Performances and Interactions",western art,0.62440497,True
"Introduction to Art; Representations, Performances and Interactions",contemporary performance art,0.6890266,True
"Introduction to Art; Representations, Performances and Interactions",social practice,0.61538833,True
"Introduction to Art; Representations, Performances and Interactions",interactions,0.5981151,True
"Introduction to Art; Representations, Performances and Interactions",imitation,0.65045816,True
Pop Songs and Poetry: Theory and Analysis,select poem,0.6142956,True
Pop Songs and Poetry: Theory and Analysis,lyrical,0.60189235,True
Pop Songs and Poetry: Theory and Analysis,poem,0.56665295,True
Pop Songs and Poetry: Theory and Analysis,popular music,0.5838467,True
Pop Songs and Poetry: Theory and Analysis,new music artist,0.54752135,True
Pop Songs and Poetry: Theory and Analysis,popular song,0.6064578,True
Pop Songs and Poetry: Theory and Analysis,musical aspect,0.60895836,True
Pop Songs and Poetry: Theory and Analysis,lyric,0.59963346,True
