student_num,module_abb,grade,appraisal_date,pass
24062416,HUM3036,8.0,2018-10-20,1
24062416,SCI2036,7.3,2018-12-14,1
24076420,COR1003,7.6,2018-10-20,1
24076420,HUM3036,7.3,2019-03-11,1
24076420,HUM3040,6.4,2018-12-14,1
24076420,SCI2010,5.3,2019-04-12,0
24076420,HUM2051,8.0,2019-04-12,1
24076420,SSC2053,8.2,2019-05-31,1
24206020,HUM2046,5.7,2019-02-12,0
24206020,SCI1005,8.1,2018-12-14,1
24206020,COR1002,5.0,2019-07-15,0
24220100,COR1002,7.1,2019-07-15,1
24220100,COR1004,7.6,2019-05-31,1
24267276,HUM3043,8.0,2018-10-20,1
24267276,HUM3040,8.5,2018-12-14,1
24267276,SCI1009,6.1,2018-10-20,1
24267276,HUM3051,8.7,2019-04-12,1
24267276,COR1002,7.5,2019-05-31,1
24270860,SCI2022,7.3,2018-10-20,1
24270860,SCI3050,8.0,2018-12-14,1
24270860,SCI2040,8.4,2019-04-12,1
24270860,HUM3042,8.5,2019-05-31,1
24326432,HUM1007,8.3,2018-12-14,1
24326432,COR1003,5.8,2018-10-20,0
24326432,SCI3007,6.6,2018-10-20,1
24326432,SCI2035,6.3,2018-12-14,1
24326432,HUM3051,8.4,2019-04-12,1
24326432,COR1004,8.0,2019-05-31,1
24326432,SCI2031,5.7,2019-05-31,0
24347452,HUM3045,8.6,2018-10-20,1
24347452,SSC2048,10.0,2018-12-14,1
24354976,COR1003,8.0,2018-10-20,1
24368180,SSC1029,6.9,2018-10-20,1
24376264,HUM2046,5.8,2018-10-20,0
24376264,SCI3003,6.0,2018-10-20,1
24391364,SSC3023,7.5,2019-04-12,1
24391364,SCI3046,6.3,2019-05-31,1
24391364,SSC3040,8.0,2019-05-31,1
24391364,SSC2006,8.2,2019-04-12,1
24410644,HUM1012,8.3,2018-10-20,1
24410644,HUM3043,8.0,2018-10-20,1
24410644,SCI1016,5.7,2019-03-15,0
24410644,HUM3029,9.0,2019-04-12,1
24410644,HUM3042,6.0,2019-05-31,1
24410920,SCI1010,6.6,2018-10-19,1
24410920,SSC2020,8.4,2018-10-20,1
24410920,SSC1027,8.3,2018-12-14,1
24415412,SSC3019,7.3,2018-10-20,1
24415412,SSC3033,6.6,2018-12-14,1
24416016,COR1003,8.0,2019-04-12,1
24416016,SSC3038,8.1,2019-04-12,1
24416016,SSC3018,8.4,2019-05-31,1
24416016,SSC2065,7.9,2019-05-31,1
24416908,SCI2041,7.6,2019-04-12,1
24417168,SCI1009,5.1,2019-02-04,0
24417168,SSC2046,7.4,2018-10-20,1
24417168,SSC3012,6.6,2018-12-14,1
24417168,SSC3055,7.7,2019-04-12,1
24417168,SSC3002,6.8,2019-05-31,1
24417168,SSC3051,8.0,2019-05-31,1
24417168,SSC2064,8.6,2019-04-12,1
24423324,SSC2046,7.3,2018-10-20,1
24423324,SCI1005,8.0,2018-12-14,1
24423324,SSC3032,7.1,2018-12-14,1
24423324,SCI2010,4.6,2019-04-12,0
24423324,COR1002,5.5,2019-05-31,0
24423324,SSC3059,7.6,2019-05-31,1
24423324,SCI2019,5.5,2019-07-04,0
24426132,SCI1009,9.3,2018-10-20,1
24428696,HUM3049,6.6,2018-12-14,1
24428696,SCI1016,5.5,2019-03-15,0
24428696,SCI2041,1.5,2019-04-12,0
24431696,HUM1011,6.3,2018-10-20,1
24431696,SCI2036,6.4,2018-12-14,1
24431696,SSC2024,5.6,2018-12-14,0
24431716,HUM2018,7.2,2018-12-14,1
24431716,HUM3050,8.1,2018-12-14,1
24431764,SSC2025,6.7,2018-12-14,1
24433220,SSC1007,7.5,2018-10-20,1
24433220,SSC3030,8.0,2018-10-19,1
24433220,COR1002,5.8,2018-12-14,0
24433220,SSC3032,6.3,2018-12-14,1
24433220,SSC3055,6.9,2019-04-12,1
24433220,SSC3052,6.7,2019-05-31,1
24433788,HUM3051,9.0,2019-04-12,1
24433788,HUM2030,7.9,2019-05-31,1
24433788,HUM2031,8.2,2019-05-31,1
24434356,HUM2003,6.8,2018-10-20,1
24434356,SSC1029,7.3,2018-10-20,1
24434356,SCI1005,7.6,2018-12-14,1
24435132,SSC3012,6.2,2018-12-14,1
24435132,SSC3049,8.4,2018-12-14,1
24435432,SCI1010,7.5,2018-10-19,1
24435432,SCI1016,7.8,2018-12-14,1
24437452,HUM2005,7.0,2018-10-20,1
24437452,HUM2057,8.0,2018-12-14,1
24439824,HUM3045,6.0,2018-10-20,1
24439824,SSC2046,7.3,2019-01-22,1
24439824,COR1002,5.7,2018-12-14,0
24439824,SSC3012,5.5,2018-12-14,0
24440344,SCI1005,7.9,2018-12-14,1
24440392,HUM2046,7.3,2018-10-20,1
24440392,HUM3049,7.6,2018-12-14,1
24440392,SSC3047,7.6,2018-12-14,1
24440444,COR1003,6.7,2018-10-20,1
24440444,SCI1009,5.6,2019-02-04,0
24440444,HUM3049,7.5,2019-02-15,1
24440444,HUM2021,8.0,2019-02-14,1
24440444,HUM2054,7.3,2019-04-12,1
24440444,HUM2030,8.5,2019-05-31,1
24442024,COR1002,5.9,2018-12-14,0
24442912,SCI1010,6.1,2019-01-29,1
24442912,SSC3036,5.0,2018-10-20,0
24442912,SSC3032,7.1,2018-12-14,1
24442912,SSC2027,6.5,2019-04-12,1
24444560,SCI2011,7.4,2018-10-20,1
24444560,SCI3003,9.5,2018-10-20,1
24444560,COR1002,7.1,2018-12-14,1
24444560,SSC3011,8.6,2019-04-12,1
24444560,SCI3006,8.0,2019-04-12,1
24444560,COR1004,7.5,2019-05-31,1
24444560,SCI3051,8.0,2019-05-31,1
24444964,SSC2039,7.9,2019-04-12,1
24444964,SCI2033,7.3,2019-04-12,1
24444964,COR1002,7.2,2019-05-31,1
24444964,SSC2022,8.6,2019-05-31,1
24446060,SSC2064,8.8,2019-04-12,1
24446060,SSC3055,7.5,2019-04-12,1
24446060,SSC3040,7.7,2019-05-31,1
24448512,COR1002,7.1,2018-12-14,1
24450192,SSC3056,8.4,2019-05-31,1
24450200,HUM2005,6.8,2018-10-20,1
24450200,SCI1016,7.8,2018-12-14,1
24450636,SSC3019,6.6,2019-01-15,1
24450636,COR1002,6.1,2018-12-14,1
24450636,SSC2061,6.4,2018-12-14,1
24450896,SSC3033,8.1,2018-12-14,1
24452812,COR1002,6.3,2018-12-14,1
24452812,SCI1016,6.9,2018-12-14,1
24452952,SSC3047,7.6,2018-12-14,1
24452952,SSC2046,7.0,2019-01-22,1
24453620,COR1003,6.7,2018-10-20,1
24453620,SCI1016,8.1,2018-12-14,1
24453620,SSC3038,7.8,2019-04-12,1
24454528,SSC3030,8.0,2018-10-19,1
24454528,SCI1005,7.6,2018-12-14,1
24454528,SCI1016,8.4,2018-12-14,1
24454528,SSC2037,6.6,2019-04-12,1
24454528,SSC3055,7.5,2019-04-12,1
24454528,SSC3051,8.1,2019-05-31,1
24455340,SCI2022,6.5,2018-10-20,1
24455340,COR1002,6.0,2019-01-30,1
24455340,SSC3032,7.0,2018-12-14,1
24455340,SCI2041,6.4,2019-07-08,1
24455480,SCI2022,6.5,2018-10-20,1
24455480,SCI3007,7.8,2018-10-20,1
24455480,COR1002,5.5,2019-01-31,0
24455480,SCI2035,3.4,2018-12-14,0
24455604,SSC3030,7.0,2018-10-19,1
24455604,HUM2046,7.5,2018-10-20,1
24455604,COR1002,7.6,2018-12-14,1
24455604,SSC2061,7.5,2018-12-14,1
24455608,SCI3007,7.0,2018-10-20,1
24455608,SCI3050,7.5,2018-12-14,1
24455828,HUM2003,8.0,2018-10-20,1
24455828,HUM2046,8.0,2018-10-20,1
24455828,HUM3040,8.5,2018-12-14,1
24455828,HUM3049,9.0,2018-12-14,1
24455828,SSC3040,8.5,2019-05-31,1
24455996,SCI3007,7.0,2018-10-20,1
24455996,SCI2035,3.9,2018-12-14,0
24455996,SCI2018,4.7,2018-12-14,0
24455996,HUM3034,7.4,2019-05-31,1
24456248,COR1003,7.0,2018-10-20,1
24456248,SSC2025,7.5,2018-12-14,1
24456248,SCI2036,6.9,2018-12-14,1
24456296,HUM2051,7.7,2019-04-12,1
24456296,HUM3042,8.0,2019-05-31,1
24456296,SSC3018,7.9,2019-05-31,1
24456480,SSC2020,8.2,2018-10-20,1
24456480,SSC2048,0.0,2018-12-14,0
24456480,SSC3033,6.5,2018-12-14,1
24456480,SSC3018,6.1,2019-05-31,1
24456768,SCI1010,9.6,2018-10-19,1
24456768,SSC2061,9.5,2018-12-14,1
24456768,SSC3047,8.7,2018-12-14,1
24456952,COR1002,5.5,2018-12-14,0
24456952,SSC2024,6.8,2018-12-14,1
24456952,HUM2003,7.3,2019-02-07,1
24457324,HUM3043,7.5,2018-10-20,1
24457324,SSC3032,3.6,2018-12-14,0
24457324,COR1002,5.5,2018-12-14,0
24457324,SSC3011,7.6,2019-04-12,1
24457324,SSC2064,8.3,2019-04-12,1
24457324,SSC3059,7.6,2019-05-31,1
24457908,COR1002,6.9,2018-12-14,1
24457908,SSC3047,8.1,2018-12-14,1
24459024,HUM2005,8.2,2018-10-20,1
24459024,HUM3043,8.0,2018-10-20,1
24459024,SCI1005,8.7,2018-12-14,1
24459024,SSC3032,8.6,2018-12-14,1
24461060,SSC3019,5.2,2018-10-20,0
24467592,HUM3045,5.8,2018-10-20,0
24467592,HUM3040,6.4,2018-12-14,1
24467592,HUM3049,7.6,2018-12-14,1
24467592,SSC2039,7.9,2019-04-12,1
24467592,HUM2030,8.6,2019-05-31,1
24467592,SSC3018,8.1,2019-05-31,1
24467592,COR1003,7.1,2019-04-12,1
24468500,SCI2041,6.3,2019-04-12,1
24468500,SSC3056,7.8,2019-05-31,1
24468500,SSC3059,8.1,2019-05-31,1
24472572,HUM2030,8.7,2019-05-31,1
24472572,SSC3056,7.8,2019-05-31,1
24476300,SCI2019,7.7,2019-05-31,1
24477916,SSC3036,8.2,2018-10-20,1
24477916,COR1002,6.5,2018-12-14,1
